asset_id,generator,zone,technology,cost_key,installed_capacity,p_min_mw,availability_factor,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,edgs_scenario,edgs_earliest_commissioning_year,edgs_fixed_commissioning_year,topology,requires_hydro_asset,requires_vre_profile,commissioning_policy,builder_version
solar_canterbury_lauriston_solar_farm,solar,canterbury,solar,solar_canterbury_lauriston_solar_farm,63.000000,0.000000,1.000000,2026,,2026,fixed,edgs_year_shifted_after_base_year,True,Under construction,Lauriston solar farm,lauriston_solar_farm,Solar,Solar,PELE,ASB,Canterbury,Reference,,2024,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_mt_somers_solar_farm,solar,canterbury,solar,solar_canterbury_mt_somers_solar_farm,27.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year,True,Fully consented,Mt Somers solar farm,mt_somers_solar_farm,Solar,Solar,PELE,ASB,Canterbury,Reference,2026,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_ohau_a_solar_plant,solar,canterbury,solar,solar_canterbury_ohau_a_solar_plant,278.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_announced,True,Announced,Ohau A solar plant,ohau_a_solar_plant,Solar,Solar,PELE,OHA,Canterbury,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_swannanoa_solar_farm,solar,canterbury,solar,solar_canterbury_swannanoa_solar_farm,130.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year,True,Announced,Swannanoa solar farm,swannanoa_solar_farm,Solar,Solar,PELE,ISL,Canterbury,Reference,2026,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_the_point_solar_farm,solar,canterbury,solar,solar_canterbury_the_point_solar_farm,420.000000,0.000000,1.000000,2030,2030,,flexible,assumed_from_status_applied_for_consent,True,Applied for consent,The Point solar farm,the_point_solar_farm,Solar,Solar,PELE,OHC,Canterbury,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_waipara_solar_farm,solar,canterbury,solar,solar_canterbury_waipara_solar_farm,144.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_announced,True,Announced,Waipara solar farm,waipara_solar_farm,Solar,Solar,PELE,WPR,Canterbury,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
wind_canterbury_generic_wind_no_69,wind,canterbury,wind,wind_canterbury_generic_wind_no_69,100.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Generic Wind No. 69,generic_wind_no_69,Wind,Wind,PELE,WPR,Canterbury,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
wind_canterbury_mount_cass_wind_farm,wind,canterbury,wind,wind_canterbury_mount_cass_wind_farm,94.600000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Fully consented,Mount Cass wind farm,mount_cass_wind_farm,Wind,Wind,PELE,WPR,Canterbury,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
wind_canterbury_project_hurunui_wind_farm,wind,canterbury,wind,wind_canterbury_project_hurunui_wind_farm,76.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Project Hurunui Wind Farm,project_hurunui_wind_farm,Wind,Wind,PELE,WPR,Canterbury,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
diesel_peaker_hawkes_bay_whirinaki_peaker_plant,diesel_peaker,hawkes_bay,diesel_peaker,diesel_peaker_hawkes_bay_whirinaki_peaker_plant,155.000000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Whirinaki peaker plant,whirinaki_peaker_plant,DslPkr,"Peaker, diesel-fired OCGT",PELE,WHI,Hawke's Bay,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_storage_hawkes_bay_waikaremoana_hydro_scheme,hydro_storage,hawkes_bay,hydro_storage,hydro_storage_hawkes_bay_waikaremoana_hydro_scheme,138.000000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Waikaremoana hydro scheme,waikaremoana_hydro_scheme,HydSC,"Hydro, schedulable",PELE,TUI,Hawke's Bay,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
solar_hawkes_bay_generic_solar_200mw+_15,solar,hawkes_bay,solar,solar_hawkes_bay_generic_solar_200mw+_15,200.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Generic,Generic solar (200MW+): 15,generic_solar_200mw+_15,Solar,Solar,PELE,WTU,Hawke's Bay,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_hawkes_bay_hawkes_bay_airport_solar_farm,solar,hawkes_bay,solar,solar_hawkes_bay_hawkes_bay_airport_solar_farm,40.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Announced,Hawke's Bay Airport solar farm,hawkes_bay_airport_solar_farm,Solar,Solar,PELE,RDF,Hawke's Bay,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_hawkes_bay_ongaonga_solar_helios,solar,hawkes_bay,solar,solar_hawkes_bay_ongaonga_solar_helios,100.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_announced,True,Announced,Ongaonga solar (Helios),ongaonga_solar_helios,Solar,Solar,PELE,WPW,Hawke's Bay,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_hawkes_bay_ongaonga_solar_farm_sky_solar,solar,hawkes_bay,solar,solar_hawkes_bay_ongaonga_solar_farm_sky_solar,70.000000,0.000000,1.000000,2026,2026,,flexible,edgs_fixed_commissioning_year_treated_as_candidate_availability;shifted_after_base_year,True,Fully consented,Ongaonga solar farm (Sky Solar),ongaonga_solar_farm_sky_solar,Solar,Solar,PELE,WPW,Hawke's Bay,Reference,,2024,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_hawkes_bay_tikokino_solar_farm,solar,hawkes_bay,solar,solar_hawkes_bay_tikokino_solar_farm,43.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_announced,True,Announced,Tikokino solar farm,tikokino_solar_farm,Solar,Solar,PELE,WPW,Hawke's Bay,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
wind_hawkes_bay_generic_wind_no_32,wind,hawkes_bay,wind,wind_hawkes_bay_generic_wind_no_32,50.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Generic Wind No. 32,generic_wind_no_32,Wind,Wind,PELE,TUI,Hawke's Bay,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
